# Version: 1.2
# AI Server Manager model list
# Format: category|ollama_name|display_label|size_or_note
# Categories currently used by the UI: Assistant, Roleplay, Vision
# Keep this file plain text so it can be updated from GitHub without changing models.py.

[Assistant]
llama3.2:1b|Llama 3.2 1B - tiny/fast|1B
llama3.2:3b|Llama 3.2 3B - small|3B
llama3.1:8b|Llama 3.1 8B - balanced|8B
llama3.3:70b|Llama 3.3 70B - large/high quality|70B
qwen2.5:3b|Qwen2.5 3B - small assistant/coding|3B
qwen2.5:7b|Qwen2.5 7B - balanced assistant/coding|7B
qwen2.5:14b|Qwen2.5 14B - larger assistant/coding|14B
mistral:7b|Mistral 7B - balanced assistant|7B
gemma2:2b|Gemma 2 2B - tiny assistant|2B
gemma2:9b|Gemma 2 9B - balanced assistant|9B
gemma3:4b|Gemma 3 4B - newer small assistant|4B
gemma3:12b|Gemma 3 12B - newer balanced assistant|12B
phi3:mini|Phi-3 Mini - tiny assistant|mini
phi4:latest|Phi-4 - compact reasoning assistant|latest
deepseek-r1:1.5b|DeepSeek R1 1.5B - tiny reasoning|1.5B
deepseek-r1:7b|DeepSeek R1 7B - balanced reasoning|7B
deepseek-r1:14b|DeepSeek R1 14B - stronger reasoning|14B
codellama:7b|CodeLlama 7B - coding|7B
qwen2.5-coder:1.5b|Qwen2.5 Coder 1.5B - tiny coding|1.5B
qwen2.5-coder:7b|Qwen2.5 Coder 7B - coding|7B
qwen2.5-coder:14b|Qwen2.5 Coder 14B - larger coding|14B
starcoder2:3b|StarCoder2 3B - small coding|3B
starcoder2:7b|StarCoder2 7B - balanced coding|7B
gpt-oss:20b|GPT-OSS 20B - flagship reasoning assistant|20B
gpt-oss:120b|GPT-OSS 120B - maximum quality/reasoning|120B
qwen3:0.6b|Qwen 3 0.6B - ultra tiny assistant|0.6B
qwen3:1.7b|Qwen 3 1.7B - lightweight assistant|1.7B
qwen3:4b|Qwen 3 4B - compact assistant|4B
qwen3:8b|Qwen 3 8B - balanced assistant|8B
qwen3:14b|Qwen 3 14B - advanced assistant|14B
qwen3:30b|Qwen 3 30B - premium assistant|30B
qwen3:32b|Qwen 3 32B - premium reasoning|32B
deepseek-r1:32b|DeepSeek R1 32B - advanced reasoning|32B
deepseek-r1:70b|DeepSeek R1 70B - flagship reasoning|70B
deepseek-v3:latest|DeepSeek V3 - large assistant|latest
mistral-small:24b|Mistral Small 24B - high quality assistant|24B
mistral-large:latest|Mistral Large - flagship assistant|latest
ministral:3b|Ministral 3B - lightweight assistant|3B
ministral:8b|Ministral 8B - balanced assistant|8B
command-r:35b|Command R 35B - retrieval assistant|35B
command-r-plus:104b|Command R+ - enterprise assistant|104B
granite3.3:2b|Granite 3.3 2B - tiny assistant|2B
granite3.3:8b|Granite 3.3 8B - balanced assistant|8B
granite3.3:30b|Granite 3.3 30B - enterprise assistant|30B
exaone3.5:2.4b|EXAONE 3.5 2.4B - lightweight assistant|2.4B
exaone3.5:7.8b|EXAONE 3.5 7.8B - balanced assistant|7.8B
exaone3.5:32b|EXAONE 3.5 32B - premium assistant|32B
smollm2:135m|SmolLM2 135M - extremely small assistant|135M
smollm2:360m|SmolLM2 360M - tiny assistant|360M
smollm2:1.7b|SmolLM2 1.7B - compact assistant|1.7B
tinyllama:1.1b|TinyLlama 1.1B - ultra lightweight|1.1B

[Roleplay]
dolphin-mistral:7b|Dolphin Mistral 7B - chat/roleplay|7B
dolphin-llama3:8b|Dolphin Llama 3 8B - chat/roleplay|8B
neural-chat:7b|Neural Chat 7B - chat/roleplay|7B
openchat:7b|OpenChat 7B - chat/roleplay|7B
nous-hermes2:10.7b|Nous Hermes 2 10.7B - writing/roleplay|10.7B
wizard-vicuna-uncensored:7b|Wizard Vicuna 7B - chat/roleplay|7B
llama2-uncensored:7b|Llama 2 Uncensored 7B - roleplay/chat|7B
mistral-nemo:12b|Mistral Nemo 12B - writing/chat|12B
